ID;TV;radios;diarios;ventas
107;25.00;11.00;29.70;7.20
108;90.40;0.30;23.20;8.70
109;13.10;0.40;25.60;5.30
110;255.40;26.90;5.50;19.80
111;225.80;8.20;56.50;13.40
112;241.70;38.00;23.20;21.80
113;175.70;15.40;2.40;14.10
114;209.60;20.60;10.70;15.90
115;78.20;46.80;34.50;14.60
116;75.10;35.00;52.70;12.60
117;139.20;14.30;25.60;12.20
118;76.40;0.80;14.80;9.40
119;125.70;36.90;79.20;15.90
120;19.40;16.00;22.30;6.60
121;141.30;26.80;46.20;15.50
122;18.80;21.70;50.40;7.00
123;224.00;2.40;15.60;11.60
124;123.10;34.60;12.40;15.20
125;229.50;32.30;74.20;19.70
126;87.20;11.80;25.90;10.60
127;7.80;38.90;50.60;6.60
128;80.20;0.00;9.20;8.80
129;220.30;49.00;3.20;24.70
130;59.60;12.00;43.10;9.70
131;0.70;39.60;8.70;1.60
132;265.20;2.90;43.00;12.70
133;8.40;27.20;2.10;5.70
134;219.80;33.50;45.10;19.60
135;36.90;38.60;65.60;10.80
136;48.30;47.00;8.50;11.60
137;25.60;39.00;9.30;9.50
138;273.70;28.90;59.70;20.80
139;43.00;25.90;20.50;9.60
140;184.90;43.90;1.70;20.70
141;73.40;17.00;12.90;10.90
142;193.70;35.40;75.60;19.20
143;220.50;33.20;37.90;20.10
144;104.60;5.70;34.40;10.40
145;96.20;14.80;38.90;11.40
146;140.30;1.90;9.00;10.30
147;240.10;7.30;8.70;13.20
148;243.20;49.00;44.30;25.40
149;38.00;40.30;11.90;10.90
150;44.70;25.80;20.60;10.10
151;280.70;13.90;37.00;16.10
152;121.00;8.40;48.70;11.60
153;197.60;23.30;14.20;16.60
154;171.30;39.70;37.70;19.00
155;187.80;21.10;9.50;15.60
156;4.10;11.60;5.70;3.20
157;93.90;43.50;50.50;15.30
158;149.80;1.30;24.30;10.10
159;11.70;36.90;45.20;7.30
160;131.70;18.40;34.60;12.90
161;172.50;18.10;30.70;14.40
162;85.70;35.80;49.30;13.30
163;188.40;18.10;25.60;14.90
164;163.50;36.80;7.40;18.00
165;117.20;14.70;5.40;11.90
166;234.50;3.40;84.80;11.90
167;17.90;37.60;21.60;8.00
168;206.80;5.20;19.40;12.20
169;215.40;23.60;57.60;17.10
170;284.30;10.60;6.40;15.00
171;50.00;11.60;18.40;8.40
172;164.50;20.90;47.40;14.50
173;19.60;20.10;17.00;7.60
174;168.40;7.10;12.80;11.70
175;222.40;3.40;13.10;11.50
176;276.90;48.90;41.80;27.00
177;248.40;30.20;20.30;20.20
178;170.20;7.80;35.20;11.70
179;276.70;2.30;23.70;11.80
180;165.60;10.00;17.60;12.60
181;156.60;2.60;8.30;10.50
182;218.50;5.40;27.40;12.20
183;56.20;5.70;29.70;8.70
184;287.60;43.00;71.80;26.20
185;253.80;21.30;30.00;17.60
186;205.00;45.10;19.60;22.60
187;139.50;2.10;26.60;10.30
188;191.10;28.70;18.20;17.30
189;286.00;13.90;3.70;15.90
190;18.70;12.10;23.40;6.70
191;39.50;41.10;5.80;10.80
192;75.50;10.80;6.00;9.90
193;17.20;4.10;31.60;5.90
194;166.80;42.00;3.60;19.60
195;149.70;35.60;6.00;17.30
196;38.20;3.70;13.80;7.60
197;94.20;4.90;8.10;9.70
198;177.00;9.30;6.40;12.80
199;283.60;42.00;66.20;25.50
200;232.10;8.60;8.70;13.40
